date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
03/09/2024,Abilene Christian,Utah Valley,home,L,0,67,74,24,50,3,11,16,26,7,22,29,14,8,7,2,14,0,0,29,60,7,14,9,14,11,25,36,14,10,5,0,20,1,0
03/13/2024,Abilene Christian,SFA,neutral,L,0,57,60,18,43,3,9,18,23,7,30,37,9,22,3,4,23,1,0,20,50,8,18,12,25,4,21,25,11,13,10,3,24,1,0
11/09/2023,Alabama A&M,North Ala.,away,L,0,67,83,20,56,4,14,23,36,15,22,37,9,17,9,2,20,0,0,26,54,8,23,23,27,9,28,37,14,16,8,2,27,0,0
11/18/2023,Alabama A&M,Lipscomb,away,L,0,81,106,29,69,6,21,17,27,20,22,42,12,17,10,4,16,0,0,36,64,18,32,16,19,7,24,31,26,15,10,7,18,0,0
11/21/2023,Alabama A&M,Auburn,away,L,0,54,84,19,57,3,15,13,17,6,21,27,6,14,8,3,26,0,0,26,55,6,24,26,36,13,35,48,19,13,9,6,17,0,0
11/24/2023,Alabama A&M,ETSU,neutral,L,0,71,82,22,51,6,13,21,25,9,25,34,11,14,5,2,26,0,0,25,56,13,31,19,29,13,23,36,15,11,7,2,22,1,0
11/25/2023,Alabama A&M,Cleveland St.,away,L,0,59,86,20,55,1,14,18,31,18,14,32,14,20,10,1,20,0,0,28,50,8,19,22,26,10,25,35,16,17,14,6,21,1,0
11/29/2023,Alabama A&M,Tennessee St.,home,W,1,85,83,25,58,4,13,31,39,13,28,41,10,16,7,7,19,0,0,29,70,8,24,17,26,17,25,42,19,16,10,2,24,0,0
12/02/2023,Alabama A&M,Vanderbilt,away,L,0,59,78,18,63,4,21,19,20,12,29,41,8,12,4,0,26,0,0,23,53,8,25,24,34,9,34,43,16,10,5,2,15,1,0
12/09/2023,Alabama A&M,Georgia Tech,away,L,0,49,70,16,58,2,20,15,20,9,19,28,4,7,12,4,20,0,0,24,56,8,28,14,22,19,36,55,15,20,3,2,14,0,0
12/11/2023,Alabama A&M,Samford,away,L,0,91,118,31,61,2,7,27,39,12,22,34,9,28,18,3,25,0,0,36,66,18,30,28,33,11,23,34,25,26,19,5,28,0,1
12/13/2023,Alabama A&M,UAB,home,L,0,82,93,26,58,11,23,19,22,10,17,27,14,12,5,4,23,0,0,30,59,8,15,25,36,17,24,41,19,11,9,3,19,0,0
12/16/2023,Alabama A&M,Chattanooga,home,L,0,72,88,28,58,4,19,12,21,10,21,31,13,15,5,4,21,0,0,29,54,10,26,20,28,10,28,38,16,13,9,1,21,0,0
12/21/2023,Alabama A&M,South Alabama,away,L,0,67,83,25,63,1,12,16,23,10,30,40,7,16,6,5,18,0,0,27,68,6,25,23,31,16,31,47,9,10,6,3,23,0,0
12/30/2023,Alabama A&M,Georgia,away,L,0,73,93,25,53,5,11,18,23,6,27,33,12,22,8,4,21,1,0,34,67,10,24,15,27,13,24,37,19,12,15,6,22,0,0
01/06/2024,Alabama A&M,Ark.-Pine Bluff,away,W,0,63,62,26,52,4,9,7,14,15,29,44,14,26,9,4,21,1,0,19,51,7,28,17,21,5,17,22,11,14,16,3,13,0,0
01/08/2024,Alabama A&M,Mississippi Val.,away,W,0,78,70,27,54,6,12,18,25,12,24,36,17,12,8,2,23,1,0,23,55,4,18,20,25,11,18,29,8,11,5,3,18,1,0
