Didn't find Card
date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
03/08/2025,Abilene Christian,Grand Canyon,home,W,1,82,81,29,64,5,11,19,20,14,28,42,17,24,12,4,26,2,0,30,65,4,13,17,26,12,22,34,12,19,12,8,22,1,0
03/13/2025,Abilene Christian,Seattle U,neutral,L,0,63,69,25,66,1,18,12,17,18,24,42,15,17,8,4,27,1,0,22,47,3,13,22,34,6,26,32,15,17,10,7,20,1,0
11/04/2024,American,La Salle,away,L,0,52,65,20,55,9,31,3,8,9,22,31,13,10,3,3,16,1,0,23,55,5,16,14,18,12,28,40,7,7,5,3,14,0,0
11/10/2024,American,Harvard,home,W,0,67,55,22,50,9,24,14,17,5,27,32,13,11,6,3,21,0,0,20,52,5,21,10,15,7,25,32,10,11,5,2,17,0,0
11/12/2024,American,Siena,away,L,0,66,74,24,55,9,18,9,12,9,15,24,11,8,7,2,21,0,0,26,47,4,9,18,25,10,24,34,11,10,7,9,13,0,0
11/15/2024,American,North Carolina,away,L,0,55,107,19,61,7,31,10,11,7,16,23,6,13,3,1,23,0,0,36,61,7,22,28,34,10,36,46,16,9,8,4,15,0,0
11/18/2024,American,High Point,away,L,0,73,80,29,52,7,22,8,12,12,14,26,13,11,1,1,22,0,0,29,51,6,14,16,21,9,13,22,10,8,3,1,17,0,0
11/22/2024,American,Kansas City,neutral,W,0,64,60,18,43,3,20,25,27,8,23,31,5,20,8,1,19,1,1,17,49,10,24,16,19,7,18,25,9,15,8,0,22,0,1
11/23/2024,American,P.R.-Bayamon,neutral,W,0,73,56,26,59,6,28,15,22,8,25,33,14,14,10,3,22,0,0,17,51,1,10,21,26,8,21,29,6,20,9,3,18,0,0
11/24/2024,American,UAlbany,neutral,W,0,81,77,29,45,9,16,14,24,4,20,24,13,16,3,7,25,1,0,27,60,4,13,19,26,8,17,25,8,10,4,0,21,1,1
12/01/2024,American,Notre Dame (MD),home,W,0,97,52,32,59,10,27,23,30,13,29,42,19,15,13,2,18,0,0,19,55,2,12,12,18,10,16,26,11,21,13,1,23,0,0
12/04/2024,American,George Washington,home,W,1,81,71,25,62,13,32,18,24,12,30,42,16,16,9,5,18,0,0,28,66,2,13,13,27,13,28,41,10,14,14,2,19,1,0
12/18/2024,American,Saint Joseph's,away,L,0,57,84,20,56,7,24,10,15,11,14,25,11,16,10,2,16,0,0,29,48,8,16,18,21,6,26,32,15,15,9,5,13,0,0
12/22/2024,American,Virginia,away,L,0,58,63,19,50,11,31,9,9,3,23,26,13,7,5,3,14,0,0,23,50,8,19,9,14,6,27,33,17,8,4,3,10,0,0
12/29/2024,American,UMBC,home,L,2,93,96,37,77,11,31,8,16,12,29,41,21,11,5,4,20,2,0,38,72,7,20,13,18,7,33,40,21,9,5,1,16,0,0
01/02/2025,American,Navy,away,L,0,58,81,21,56,9,33,7,11,7,21,28,13,9,4,0,18,0,1,30,55,5,14,16,23,7,31,38,22,6,6,4,12,0,0
01/05/2025,American,Holy Cross,home,W,0,75,64,24,48,12,24,15,17,3,21,24,16,8,5,0,16,0,0,24,57,9,25,7,10,11,21,32,11,10,3,1,14,0,0
01/08/2025,American,Boston U.,away,L,0,54,60,18,50,6,21,12,13,6,23,29,7,8,5,1,19,1,1,20,47,6,21,14,21,8,27,35,9,10,4,4,17,0,1
01/11/2025,American,Bucknell,home,W,0,68,58,23,49,6,18,16,21,7,22,29,10,14,8,3,18,0,0,20,54,2,19,16,21,16,23,39,10,17,7,2,16,1,0
01/13/2025,American,Loyola Maryland,away,W,0,73,54,28,56,10,23,7,10,7,26,33,13,8,8,0,19,0,0,20,45,4,13,10,18,5,22,27,13,14,3,3,13,0,0
01/18/2025,American,Holy Cross,away,W,0,74,65,25,53,10,23,14,16,8,25,33,16,9,7,1,14,0,0,26,51,8,20,5,11,4,22,26,6,11,4,2,16,0,0
01/22/2025,American,Lehigh,home,W,0,68,67,21,46,7,20,19,24,5,22,27,14,10,7,2,19,1,0,24,47,9,16,10,17,5,21,26,10,13,5,1,20,0,0
01/25/2025,American,Colgate,home,W,0,81,77,23,50,9,20,26,32,9,22,31,10,9,7,3,19,1,0,27,56,8,19,15,22,12,20,32,15,12,4,4,19,0,0
01/29/2025,American,Lafayette,away,W,0,75,68,24,59,11,28,16,17,8,24,32,14,6,5,0,14,0,0,27,60,8,21,6,12,11,27,38,18,8,5,3,15,0,0
02/01/2025,American,Army West Point,home,W,0,71,68,26,53,9,25,10,16,14,24,38,12,15,4,1,16,0,0,26,61,6,26,10,14,13,15,28,10,7,8,1,18,0,0
02/05/2025,American,Bucknell,away,L,0,49,71,16,46,5,21,12,17,4,17,21,8,12,5,2,17,0,0,27,45,6,13,11,16,3,24,27,15,13,5,4,12,0,1
02/08/2025,American,Lehigh,away,W,1,78,75,25,59,5,21,23,27,10,28,38,8,11,4,3,31,2,0,23,54,4,23,25,37,8,27,35,10,11,7,4,19,1,0
02/10/2025,American,Lafayette,home,W,0,60,58,23,51,5,20,9,11,4,26,30,11,7,8,0,16,0,0,20,50,8,25,10,18,7,26,33,11,11,4,0,14,0,0
