date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
11/07/2022,Alabama A&M,Alabama,away,L,0,51,98,64,2,12,17,27,51,22,40,5,14,3,2,20,1,0,0,58,13,25,23,33,98,37,48,18,12,10,7,23,1,1,1
11/13/2022,Alabama A&M,Nicholls,away,L,0,55,60,61,7,21,8,13,55,23,35,9,15,12,4,23,1,0,0,54,4,16,16,29,60,31,49,12,20,6,4,17,1,0,0
11/17/2022,Alabama A&M,Samford,home,L,0,68,75,56,3,12,11,17,68,15,26,6,21,5,1,20,1,0,0,47,4,15,13,22,75,22,30,15,24,9,1,16,1,1,0
11/22/2022,Alabama A&M,North Ala.,away,L,0,48,66,64,3,15,13,21,48,29,57,5,24,5,2,13,1,0,0,62,7,21,7,10,66,25,33,17,11,9,8,17,1,0,0
11/26/2022,Alabama A&M,Murray St.,home,L,0,36,57,60,5,19,5,10,36,27,37,12,18,10,6,12,1,0,0,64,4,23,17,20,57,40,60,10,20,7,5,11,1,0,0
11/29/2022,Alabama A&M,Ole Miss,away,L,0,28,74,50,2,12,10,20,28,24,36,4,20,3,0,11,1,0,0,66,8,17,6,7,74,35,48,18,13,10,6,18,1,0,0
12/10/2022,Alabama A&M,Tennessee Tech,away,L,0,68,78,55,8,22,8,9,68,15,21,14,16,8,2,14,1,0,0,52,6,18,16,17,78,23,32,16,18,11,3,7,1,0,0
12/18/2022,Alabama A&M,South Carolina St.,away,W,0,53,37,59,2,14,7,12,53,34,51,15,17,4,5,5,1,0,0,60,3,19,2,5,37,21,32,10,16,11,1,9,1,0,0
12/21/2022,Alabama A&M,Vanderbilt,away,L,0,46,76,40,5,15,11,17,46,23,29,9,27,5,2,21,1,0,0,60,3,19,23,25,76,21,35,16,10,16,3,12,1,0,0
12/29/2022,Alabama A&M,Central Ark.,away,W,0,53,51,37,5,17,14,16,53,22,31,9,19,3,2,21,1,0,0,50,1,8,14,18,51,11,22,8,8,7,2,16,1,0,0
01/02/2023,Alabama A&M,Ark.-Pine Bluff,home,W,0,67,58,42,4,11,23,30,67,27,30,8,22,4,4,15,1,0,0,73,2,16,10,18,58,18,40,9,14,11,3,23,1,0,0
01/04/2023,Alabama A&M,Mississippi Val.,home,W,0,77,62,58,10,22,15,21,77,25,40,18,12,8,4,9,1,0,0,58,9,25,3,10,62,19,31,14,14,7,1,17,1,1,0
01/07/2023,Alabama A&M,Alcorn,away,W,0,63,56,54,4,16,19,24,63,26,36,8,16,6,4,18,1,0,0,53,2,9,14,21,56,24,32,14,17,2,6,22,1,0,0
01/09/2023,Alabama A&M,Jackson St.,away,L,0,35,63,63,5,27,6,9,35,22,35,7,20,6,0,22,1,0,0,56,8,18,15,26,63,33,47,12,16,9,9,10,1,0,0
01/16/2023,Alabama A&M,Alabama St.,home,W,0,60,46,55,4,16,14,16,60,30,40,10,14,7,6,11,1,0,0,61,2,13,10,11,46,24,38,8,14,6,4,16,1,0,0
01/21/2023,Alabama A&M,Texas Southern,home,W,1,72,69,67,3,17,19,23,72,26,39,10,17,13,4,9,1,0,0,67,7,24,14,16,69,29,44,15,23,11,7,22,1,1,0
01/23/2023,Alabama A&M,Prairie View,home,W,0,66,55,49,7,16,17,21,66,26,39,8,19,5,2,16,1,0,0,57,4,16,13,16,55,15,25,9,9,10,4,20,1,1,0
01/28/2023,Alabama A&M,Florida A&M,away,L,1,67,69,60,6,17,17,21,67,34,44,11,18,8,2,16,1,0,0,70,2,13,13,16,69,30,41,6,10,8,3,16,1,0,0
01/30/2023,Alabama A&M,Bethune-Cookman,away,L,0,46,55,54,2,14,12,16,46,35,46,7,22,7,6,15,1,0,0,60,2,11,15,20,55,28,37,7,10,10,2,16,1,0,1
02/04/2023,Alabama A&M,Southern U.,home,W,0,60,50,57,3,17,9,13,60,21,31,6,17,6,3,11,1,0,0,51,1,8,9,13,50,17,24,5,17,9,4,12,1,0,0
02/06/2023,Alabama A&M,Grambling,home,W,0,57,53,57,4,19,13,18,57,35,47,14,14,3,5,8,1,0,0,70,4,20,1,3,53,28,40,10,8,5,4,19,1,1,0
02/11/2023,Alabama A&M,Mississippi Val.,away,W,0,67,50,63,8,18,7,10,67,31,45,9,13,7,3,13,1,0,0,61,4,16,8,14,50,24,37,6,13,4,6,11,1,0,0
02/13/2023,Alabama A&M,Ark.-Pine Bluff,away,L,0,57,60,61,1,12,14,20,57,23,37,15,19,7,1,26,1,1,0,44,1,5,15,33,60,26,33,15,20,7,9,19,1,1,0
02/18/2023,Alabama A&M,Bethune-Cookman,home,W,0,50,48,51,3,16,15,24,50,31,44,6,20,6,2,15,1,0,0,55,5,15,9,17,48,28,35,7,16,10,2,20,1,0,0
02/20/2023,Alabama A&M,Florida A&M,home,W,0,77,65,60,3,18,24,30,77,29,39,14,12,5,5,7,1,0,0,70,5,17,4,5,65,29,42,15,16,7,3,23,1,0,0
02/25/2023,Alabama A&M,Alabama St.,away,L,0,57,69,52,4,12,13,26,57,23,37,7,14,3,3,16,1,0,0,56,5,17,12,19,69,24,35,11,10,4,2,23,1,1,0
03/02/2023,Alabama A&M,Grambling,away,W,0,55,50,57,4,12,11,16,55,32,43,10,13,5,3,11,1,0,0,59,2,10,8,12,50,26,36,9,11,9,3,12,1,0,0
03/04/2023,Alabama A&M,Southern U.,away,L,0,53,66,61,5,21,10,17,53,21,32,8,10,4,1,15,1,0,1,59,6,18,10,14,66,30,39,16,10,4,2,20,1,0,1
03/08/2023,Alabama A&M,Ark.-Pine Bluff,neutral,L,0,55,62,56,3,16,14,17,55,27,41,12,19,7,1,20,1,1,0,58,8,24,16,22,62,24,39,10,18,10,3,18,1,0,0
11/07/2022,Alabama St.,SMU,away,L,0,39,76,53,2,16,9,19,39,11,24,6,15,8,3,20,1,0,0,62,7,18,11,18,76,29,53,21,19,9,5,18,1,0,0
11/10/2022,Alabama St.,Georgia,away,L,0,47,77,54,2,12,7,10,47,26,35,10,25,7,3,15,1,0,0,81,2,14,7,16,77,28,54,21,13,9,7,12,1,0,1
11/18/2022,Alabama St.,Mississippi St.,away,L,0,46,81,62,5,23,5,7,46,28,40,11,21,8,3,17,1,0,0,69,7,22,14,21,81,32,49,19,16,14,10,13,1,0,0
11/20/2022,Alabama St.,Auburn,away,L,0,49,88,57,3,14,6,10,49,19,32,5,26,5,2,14,1,0,0,71,8,19,8,15,88,25,43,18,13,15,5,19,1,0,0
12/01/2022,Alabama St.,Texas Tech,away,L,0,56,91,53,6,21,8,9,56,24,30,18,24,3,1,18,1,0,0,66,11,18,10,19,91,24,36,20,8,9,3,11,1,0,0
